Ant Index,2018/6/26,2018/6/27,2018/6/28,2018/6/29,2018/6/30,2018/7/1,2018/7/2,2018/7/3,2018/7/4,2018/7/5,2018/7/6,2018/7/7,2018/7/8,2018/7/9,2018/7/10,2018/7/11,2018/7/12,2018/7/13,2018/7/14,2018/7/15,2018/7/16,2018/7/17,2018/7/18,2018/7/19,2018/7/20,2018/7/21,2018/7/22,2018/7/23,2018/7/24,2018/7/25,2018/7/26,2018/7/27,2018/7/28,2018/7/29,2018/7/30,2018/7/31,2018/8/1,2018/8/2,2018/8/3,2018/8/4,2018/8/5,2018/8/6,2018/8/7,2018/8/8,2018/8/9,2018/8/10,2018/8/11,2018/8/12,2018/8/13,2018/8/14,2018/8/15,2018/8/16,2018/8/17,2018/8/18,2018/8/19,2018/8/20,2018/8/21,2018/8/22,2018/8/23,2018/8/24,2018/8/25,2018/8/26,2018/8/27,2018/8/28,2018/8/29,2018/8/30,2018/8/31,2018/9/1,2018/9/2,2018/9/3,2018/9/4,2018/9/5,2018/9/6,2018/9/7,2018/9/8,2018/9/9,2018/9/10,2018/9/11,2018/9/12,2018/9/13,2018/9/14,2018/9/15,2018/9/16,2018/9/17,2018/9/18,2018/9/19,2018/9/20
45,20,20,20,15,11,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,11,33,26,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,16,28,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,2,1,9,0,2,2,4,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,10,5,6,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,13,13,15,2,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2,35,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,33,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,15,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,9,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,3,1,0,2,2,2,1,4,1,1,1,2
