Ant Index,2018/6/17,2018/6/18,2018/6/19,2018/6/20,2018/6/21,2018/6/22,2018/6/23,2018/6/24,2018/6/25,2018/6/26,2018/6/27,2018/6/28,2018/6/29,2018/6/30,2018/7/1,2018/7/2,2018/7/3,2018/7/4,2018/7/5,2018/7/6,2018/7/7,2018/7/8,2018/7/9,2018/7/10,2018/7/11,2018/7/12,2018/7/13,2018/7/14,2018/7/15,2018/7/16,2018/7/17,2018/7/18,2018/7/19,2018/7/20,2018/7/21,2018/7/22,2018/7/23,2018/7/24,2018/7/25,2018/7/26,2018/7/27,2018/7/28,2018/7/29,2018/7/30,2018/7/31,2018/8/1,2018/8/2,2018/8/3,2018/8/4,2018/8/5,2018/8/6,2018/8/7,2018/8/8,2018/8/9,2018/8/10,2018/8/11,2018/8/12,2018/8/13,2018/8/14,2018/8/15,2018/8/16,2018/8/17,2018/8/18,2018/8/19,2018/8/20,2018/8/21,2018/8/22,2018/8/23,2018/8/24,2018/8/25,2018/8/26,2018/8/27,2018/8/28,2018/8/29,2018/8/30,2018/8/31,2018/9/1,2018/9/2,2018/9/3,2018/9/4,2018/9/5,2018/9/6,2018/9/7,2018/9/8,2018/9/9,2018/9/10,2018/9/11,2018/9/12,2018/9/13,2018/9/14,2018/9/15,2018/9/16,2018/9/17,2018/9/18,2018/9/19,2018/9/20
10,8,16,15,8,9,6,4,6,10,9,8,13,12,10,7,23,2,20,17,8,15,8,11,13,15,13,10,9,16,10,11,13,16,6,10,17,12,5,14,4,11,8,5,5,15,11,7,8,7,9,6,4,4,6,6,4,9,5,4,2,6,3,7,5,11,6,3,1,11,8,4,3,6,1,9,5,16,3,5,9,1,5,6,3,2,4,6,7,4,7,3,5,3,3,3,4
11,16,42,22,18,32,27,23,19,25,23,22,22,15,19,19,21,9,29,21,26,20,19,14,29,25,25,16,22,30,31,37,23,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,3,4,0,2,2,2,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,3,1,0,0,0,3,10,1,1,4,15,2,5,10,10,2,6,13,7,9,8,7,5,5,4,15,12,9,4,11,18,6,5,3,4,3,2,3,4,1,5,7,21,7,18,12,17,18,26,47,51,4,57,4,16,32,20,23,5,2,8,10,13,8,12,9,7,3,10,8,3
13,0,0,7,8,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,2,0,2,4,0,0,5,1,2,2,1,9,2,11,23,11,16,14,17,24,9,21,14,4,19,9,24,12,23,17,29,7,31,29,14,14,23,17,13,13,15,13,3,6,7,4,4,7,10,10,12,12,10,13,8,19,11,19,7
14,6,25,16,15,14,15,20,49,18,13,10,19,20,14,15,9,7,7,20,28,18,11,11,15,12,11,18,14,12,13,33,16,29,27,32,30,24,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,19,17,16,6,1,3,2,5,8,3,2,3,6,3,1,0,1,2,3,3,5,1,1,10,1,2,5,7,2,27,18,23,7,10,23,30,15,18,8,6,5,13,13,14,10,3,4,4,6,4,6,8,7,18,9,4,8,4,9,7,7,7,5,5,4,11,6,3,9,18,3,5,10,12,14,11,9,5,7,2,1,3,2,4,2,5,1,2,15,1,4,0,0,3,9,0
16,7,25,26,16,13,15,20,13,23,22,12,13,21,10,13,14,8,18,19,13,15,7,9,14,8,14,16,12,21,17,14,21,14,15,16,14,13,13,18,6,12,9,7,7,5,12,4,5,11,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,3,22,15,11,14,5,8,6,8,7,4,4,4,2,2,5,1,1,3,5,3,0,6,12,3,3,2,7,0,4,1,2,3,3,3,1,2,3,2,1,4,2,2,6,2,0,4,6,9,7,16,17,9,16,9,3,7,10,12,9,5,12,11,15,14,18,11,9,11,18,14,13,6,9,14,7,16,4,12,4,3,2,7,2,5,6,10,3,11,6,6,5,1,8,6,2
18,9,37,24,17,30,27,18,24,28,23,27,25,25,11,19,25,12,20,25,22,37,23,28,28,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,3,13,15,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,12,2,0,2,7,3,9,4,3,0,1,2,4,1,6,2,9,8,4,4,7,9,19,10,15,10,4,7,10,5,27,8,5,6,4,4,5,2,11,4,13,9,9,7,6,5,19,13,10,3,8,9,12,13,10,3,2,8,5,12,7,5,16,15,12,15,6,3,8,6,3,8,5
