,I_a_Jan_00,I_a_Jun_00,I_a_Aug_00,I_a_Sep_00,I_a_Mar_01,I_a_Jun_01,I_a_Aug_01,I_a_Nov_01,I_a_Mar_02,I_a_Jun_02,I_a_Aug_02,I_a_Oct_02,I_a_Jun_03,I_a_Jul_03,I_a_Aug_03,I_a_Sep_03,I_a_May_04,I_a_Jun_04,I_a_Jul_04,I_a_Aug_04,I_a_Jun_05,I_a_Jul_05,I_a_Aug_05,I_a_Sep_05,I_a_Apr_06,I_a_May_06,I_a_Jul_06,I_a_Jul1_06,I_a_Apr_07,I_a_May_07,I_a_Jul_07,I_a_Aug_07,I_a_Apr_08,I_a_May_08,I_a_Jul_08,I_a_Oct_08,I_a_May_09,I_a_Jun_09,I_a_Aug_09,I_a_Nov_09,I_a_May_10,I_a_Jun_10,I_a_Jul_10,I_a_Sep_10,I_a_May_11,I_a_Jun_11,I_a_Jul_11,I_a_Oct_11,I_a_Apr_12,I_a_Jun_12,I_a_Aug_12,I_a_Oct_12,I_a_Apr_13,I_a_Jun_13,I_a_Aug_13,I_a_Nov_13,I_a_May_14,I_a_Jun_14,I_a_Aug_14,I_a_Oct_14,I_a_Apr_15,I_a_Jun_15,I_a_Aug_15,I_a_Nov_15,I_a_Apr_16,I_a_Jun_16,I_a_Aug_16,I_a_Oct_16,I_a_Apr_17,I_a_Jun_17,I_b_Apr_07,I_b_May_07,I_b_Jul_07,I_b_Aug_07,I_b_Apr_08,I_b_May_08,I_b_Jul_08,I_b_Oct_08,I_b_May_09,I_b_Jun_09,I_b_Aug_09,I_b_Nov_09,I_b_May_10,I_b_Jun_10,I_b_Jul_10,I_b_Sep_10,I_b_May_11,I_b_Jun_11,I_b_Jul_11,I_b_Oct_11,I_b_Apr_12,I_b_Jun_12,I_b_Aug_12,I_b_Oct_12,I_b_Apr_13,I_b_Jun_13,I_b_Aug_13,I_b_Nov_13,I_b_May_12,I_b_Jun_12,I_b_Aug_12,I_b_Oct_12,I_b_Apr_15,I_b_Jun_15,I_b_Aug_15,I_b_Nov_15,I_b_Apr_16,I_b_Jun_16,I_b_Aug_16,I_b_Oct_16,I_b_Apr_17,I_b_Jun_17
Chaetodon_wiebeli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaetodontoplus_septentrionalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cheilodactylus_zonatus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Cheilodipterus_macrodon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Chlorurus_microrhinos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Choerodon_azurio,6,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,4,3,2,1,0,0,0,0,1,1,1,0,0,0,1,2,0,0,2,0,0,0,0,0,0,2,2,1,1,0,1,0,0,0,1,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Choerodon_schoenleinii,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Chromis_fumea,0,0,0,0,0,0,0,0,0,0,0,0,800,200,0,0,200,100,150,0,100,15,3,10,400,300,20,0,200,250,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,40,1,0,0,0,0,0,0,0,0,0,0,20,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,85,20,0,0,0,80,0,0,0,0,0,0,0,0
Chromis_lepidolepis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chromis_notata,0,0,0,0,0,0,0,0,0,0,100,20,350,15,0,0,0,100,50,0,3,20,5,0,100,100,20,0,300,300,0,10,0,8,0,0,0,2,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,30,15,0,0,20,20,0,0,0,0,0,0,0,0,1,0,0,500,75,50,200,10,90,150,0,6,3,70,80,0,16,10,50,0,0,0,0,0,0,0,0,0,100,0,0,0,2,20,0,0,0,0,0,0,6,20
